time	rmse	false positive	false negative
17.050	0.012159	0	0
17.067	0.012631	0	0
17.083	0.012393	0	0
17.100	0.012958	0	0
17.117	0.013373	0	0
17.133	0.013705	0	0
17.150	0.013175	0	0
17.167	0.013540	0	0
17.183	0.013453	0	0
17.200	0.014722	0	0
17.217	0.016687	0	0
17.233	0.018709	0	0
17.250	0.019863	0	0
17.267	0.020367	0	0
17.283	0.019229	0	0
17.300	0.017764	0	0
17.317	0.016101	0	0
17.333	0.015125	0	0
17.350	0.013825	0	0
17.367	0.013025	0	0
17.384	0.012846	0	0
17.400	0.012581	0	0
17.417	0.012210	0	0
17.434	0.012322	0	0
17.450	0.012638	0	0
17.467	0.012524	0	0
17.484	0.012384	0	0
17.500	0.012736	0	0
17.517	0.012917	0	0
17.534	0.013157	0	0
17.550	0.013173	0	0
17.567	0.013612	0	0
17.584	0.013310	0	0
17.600	0.013444	0	0
17.617	0.013824	0	0
17.634	0.014079	0	0
17.650	0.014025	0	0
17.667	0.013473	0	0
17.684	0.013596	0	0
17.701	0.013220	0	0
17.717	0.013488	0	0
17.734	0.013478	0	0
17.751	0.013952	0	0
17.767	0.013915	0	0
17.784	0.014358	0	0
17.801	0.014184	0	0
17.817	0.014309	0	0
17.834	0.014277	0	0
17.851	0.014323	0	0
17.867	0.014127	0	0
17.884	0.014251	0	0
17.901	0.013890	0	0
17.917	0.013781	0	0
17.934	0.013832	0	0
17.951	0.014009	0	0
17.967	0.013589	0	0
17.984	0.013182	0	0
18.001	0.013194	0	0
18.018	0.013246	0	0
18.034	0.012845	0	0
18.051	0.013110	0	0
18.068	0.013530	0	0
18.084	0.013033	0	0
18.101	0.012366	0	0
18.118	0.011768	0	0
18.134	0.011328	0	0
18.151	0.011175	0	0
18.168	0.011378	0	0
18.184	0.011482	0	0
18.201	0.012008	0	0
18.218	0.012164	0	0
18.234	0.011340	0	0
18.251	0.011421	0	0
18.268	0.011282	0	0
18.284	0.011383	0	0
18.301	0.011183	0	0
18.318	0.011653	0	0
18.334	0.011738	0	0
18.351	0.011663	0	0
18.368	0.011547	0	0
18.385	0.011779	0	0
18.401	0.012042	0	0
18.418	0.011968	0	0
18.435	0.012807	0	0
18.451	0.012396	0	0
18.468	0.012647	0	0
18.485	0.012921	0	0
18.501	0.012826	0	0
18.518	0.012954	0	0
18.535	0.013218	0	0
18.551	0.012710	0	0
18.568	0.012091	0	0
18.585	0.012266	0	0
18.601	0.011489	0	0
18.618	0.011149	0	0
18.635	0.010625	0	0
18.651	0.010504	0	0
18.668	0.010151	0	0
18.685	0.010946	0	0
18.702	0.011071	0	0
18.718	0.011849	0	0
18.735	0.012343	0	0
18.752	0.012384	0	0
18.768	0.012749	0	0
18.785	0.013372	0	0
18.802	0.013021	0	0
18.818	0.013209	0	0
18.835	0.013650	0	0
18.852	0.013221	0	0
18.868	0.013199	0	0
18.885	0.013847	0	0
18.902	0.013506	0	0
18.918	0.013186	0	0
18.935	0.012431	0	0
18.952	0.012238	0	0
18.968	0.011532	0	0
18.985	0.011092	0	0
19.002	0.010922	0	0
19.019	0.010707	0	0
19.035	0.011108	0	0
19.052	0.010950	0	0
19.069	0.011818	0	0
19.085	0.011330	0	0
19.102	0.012134	0	0
19.119	0.011657	0	0
19.135	0.011912	0	0
19.152	0.011584	0	0
19.169	0.012556	0	0
19.185	0.012195	0	0
19.202	0.012362	0	0
19.219	0.012364	0	0
19.235	0.012153	0	0
19.252	0.011855	0	0
19.269	0.012784	0	0
19.285	0.013038	0	0
19.302	0.014023	0	0
19.319	0.014476	0	0
19.335	0.014496	0	0
19.352	0.013699	0	0
19.369	0.013695	0	0
19.386	0.013403	0	0
19.402	0.013228	0	0
19.419	0.012838	0	0
19.436	0.013447	0	0
19.452	0.013212	0	0
19.469	0.012619	0	0
19.486	0.012901	0	0
19.502	0.013424	0	0
19.519	0.012350	0	0
19.536	0.012724	0	0
19.552	0.012361	0	0
19.569	0.011930	0	0
19.586	0.011431	0	0
19.602	0.011899	0	0
19.619	0.011384	0	0
19.636	0.011996	0	0
19.652	0.012644	0	0
19.669	0.013453	0	0
19.686	0.013158	0	0
19.703	0.013215	0	0
19.719	0.013413	0	0
19.736	0.013138	0	0
19.753	0.012490	0	0
19.769	0.012908	0	0
19.786	0.012927	0	0
19.803	0.012146	0	0
19.819	0.011444	0	0
19.836	0.011231	0	0
19.853	0.010932	0	0
19.869	0.010498	0	0
19.886	0.010812	0	0
19.903	0.011349	0	0
19.919	0.011403	0	0
19.936	0.011384	0	0
19.953	0.011543	0	0
19.969	0.010883	0	0
19.986	0.011117	0	0
20.003	0.011782	0	0
20.020	0.011864	0	0
20.036	0.012203	0	0
20.053	0.012996	0	0
20.070	0.012962	0	0
20.086	0.012229	0	0
20.103	0.012502	0	0
20.120	0.012144	0	0
20.136	0.011298	0	0
20.153	0.010243	0	0
20.170	0.010669	0	0
20.186	0.010353	0	0
20.203	0.010067	0	0
20.220	0.010389	0	0
20.236	0.010719	0	0
20.253	0.011071	0	0
20.270	0.011530	0	0
20.286	0.012179	0	0
20.303	0.013270	0	0
20.320	0.013715	0	0
20.336	0.013502	0	0
20.353	0.012925	0	0
20.370	0.013073	0	0
20.387	0.012761	0	0
20.403	0.013173	0	0
20.420	0.013072	0	0
20.437	0.012658	0	0
20.453	0.012370	0	0
20.470	0.011837	0	0
20.487	0.011126	0	0
20.503	0.011053	0	0
20.520	0.011661	0	0
20.537	0.011636	0	0
20.553	0.011867	0	0
20.570	0.011991	0	0
20.587	0.011986	0	0
20.603	0.012110	0	0
20.620	0.012781	0	0
20.637	0.012767	0	0
20.653	0.013296	0	0
20.670	0.013533	0	0
20.687	0.013704	0	0
20.704	0.013358	0	0
20.720	0.013706	0	0
20.737	0.013272	0	0
20.754	0.013034	0	0
20.770	0.012735	0	0
20.787	0.012710	0	0
20.804	0.012189	0	0
20.820	0.012257	0	0
20.837	0.012836	0	0
20.854	0.013488	0	0
20.870	0.013119	0	0
20.887	0.013175	0	0
20.904	0.012981	0	0
20.920	0.012395	0	0
20.937	0.011860	0	0
20.954	0.011844	0	0
20.970	0.011832	0	0
20.987	0.012299	0	0
21.004	0.012386	0	0
21.021	0.012184	0	0
21.037	0.012347	0	0
21.054	0.012857	0	0
21.071	0.012446	0	0
21.087	0.012308	0	0
21.104	0.012354	0	0
21.121	0.012358	0	0
21.137	0.011881	0	0
21.154	0.012229	0	0
21.171	0.012453	0	0
21.187	0.011978	0	0
21.204	0.011802	0	0
21.221	0.011958	0	0
21.237	0.011973	0	0
21.254	0.011490	0	0
21.271	0.012472	0	0
21.287	0.012545	0	0
21.304	0.013069	0	0
21.321	0.013697	0	0
21.337	0.014951	0	0
21.354	0.015311	0	0
21.371	0.017584	0	0
21.388	0.019470	0	0
21.404	0.020140	0	0
21.421	0.020666	0	0
21.438	0.020315	0	0
21.454	0.018523	0	0
21.471	0.015630	0	0
21.488	0.014023	0	0
21.504	0.012494	0	0
21.521	0.012005	0	0
21.538	0.011956	0	0
21.554	0.012210	0	0
21.571	0.012307	0	0
21.588	0.012852	0	0
21.604	0.012302	0	0
21.621	0.011615	0	0
21.638	0.011576	0	0
21.654	0.011569	0	0
21.671	0.010910	0	0
21.688	0.011623	0	0
21.705	0.011916	0	0
21.721	0.012245	0	0
21.738	0.012350	0	0
21.755	0.012519	0	0
21.771	0.012078	0	0
21.788	0.012452	0	0
21.805	0.012058	0	0
21.821	0.012142	0	0
21.838	0.012449	0	0
21.855	0.013168	0	0
21.871	0.012491	0	0
21.888	0.013211	0	0
21.905	0.013752	0	0
